,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
2022-09-30,,,,,,2.205,2.68,3.095,3.325,3.39,3.55,3.77,3.97,4.13,4.14,4.14,4.14,4.135,4.115,4.095,4.07,4.065,4.055,,,,,,,,,,,,,,,,,,,
2022-10-03,,,,,,2.205,2.695,3.09,3.325,3.385,3.535,3.75,3.965,4.09,4.1,4.1,4.095,4.08,4.065,4.05,4.03,4.025,4.015,,,,,,,,,,,,,,,,,,,
2022-10-04,,,,,,2.205,2.695,3.09,3.325,3.385,3.535,3.75,3.965,4.09,4.1,4.1,4.095,4.08,4.065,4.05,4.03,4.025,4.015,,,,,,,,,,,,,,,,,,,
2022-10-05,,,,,,,2.52,2.78,2.93,2.955,3.11,3.265,3.43,3.555,3.56,3.57,3.565,3.55,3.53,3.52,3.515,3.515,3.515,3.51,,,,,,,,,,,,,,,,,,
2022-10-06,,,,,,,2.52,2.78,2.935,2.97,3.095,3.25,3.415,3.535,3.54,3.55,3.545,3.53,3.53,3.54,3.535,3.535,3.535,3.53,,,,,,,,,,,,,,,,,,
2022-10-07,,,,,,,2.52,2.79,2.965,3.0,3.125,3.28,3.445,3.565,3.615,3.625,3.62,3.605,3.605,3.615,3.61,3.61,3.61,3.605,,,,,,,,,,,,,,,,,,
2022-10-10,,,,,,,2.52,2.8,2.98,3.015,3.185,3.41,3.615,3.74,3.765,3.785,3.8,3.815,3.83,3.835,3.835,3.815,3.82,3.8,,,,,,,,,,,,,,,,,,
2022-10-11,,,,,,,2.525,2.805,2.97,3.01,3.165,3.39,3.595,3.74,3.775,3.805,3.835,3.86,3.885,3.885,3.875,3.87,3.87,3.855,,,,,,,,,,,,,,,,,,
2022-10-12,,,,,,,2.525,2.795,2.975,3.015,3.16,3.375,3.595,3.755,3.81,3.885,3.92,3.95,3.98,3.98,3.97,3.97,3.97,3.955,,,,,,,,,,,,,,,,,,
2022-10-13,,,,,,,2.525,2.775,2.945,2.985,3.095,3.3,3.505,3.655,3.74,3.81,3.855,3.89,3.93,3.935,3.93,3.93,3.925,3.905,,,,,,,,,,,,,,,,,,
2022-10-14,,,,,,,2.525,2.765,2.905,2.94,3.06,3.25,3.46,3.61,3.695,3.765,3.81,3.845,3.895,3.9,3.9,3.9,3.915,3.895,,,,,,,,,,,,,,,,,,
2022-10-17,,,,,,,2.525,2.795,2.955,2.995,3.13,3.34,3.55,3.725,3.8,3.88,3.935,3.975,4.02,4.025,4.015,4.015,4.02,4.0,,,,,,,,,,,,,,,,,,
